length,voltage,current,output
3,106,0.1,0
2,135,0.15,0
2,186,0.18,0
2,158,0.2,0
2,52,0.25,0
2,265,0.28,0
2,206,0.3,0
2,166,0.35,0
2,175,0.38,0
3,166,0.4,0
3,106,0.1,1
2,135,0.15,1
2,186,0.18,1
2,158,0.2,1
2,52,0.25,1
2,265,0.28,1
2,206,0.3,1
2,166,0.35,1
2,175,0.38,1
3,166,0.4,1
